,Salm,Allikas
420,"Now is the lubber tame!
But come, away! 'Tis time for us to fly;
For there arises now a murderous cry.
With the police 'twere easy to compound it,
But here the penal court will sift and sound it.",Faust
421,"I'm dying! That is quickly said,
And quicker yet 'tis done.
Why howl, you women there? Instead,
Come here and listen, every one!",Faust
422,"My Margaret, see! still young thou art,
But not the least bit shrewd or smart,
Thy business thus to slight:
So this advice I bid thee heed--
Now that thou art a whore indeed,
Why, be one then, outright!",Faust
423,"Thou pimp most infamous, be still!
Could I thy withered body kill,
'Twould bring, for all my sinful pleasure,
Forgiveness in the richest measure.",Faust
424,"I tell thee, from thy tears refrain!
When thou from honor didst depart
It stabbed me to the very heart.
Now through the slumber of the grave
I go to God as a soldier brave.",Faust
425,"HOW otherwise was it, Margaret,
When thou, still innocent,
Here to the altar cam'st,
And from the worn and fingered book
Thy prayers didst prattle,
Half sport of childhood,
Half God within thee!
Margaret!
Where tends thy thought?
Within thy bosom
What hidden crime?
Pray'st thou for mercy on thy mother's soul,
That fell asleep to long, long torment, and through thee?
Upon thy threshold whose the blood?
And stirreth not and quickens
Something beneath thy heart,
Thy life disquieting
With most foreboding presence?",Faust
426,"Wrath takes thee!
The trumpet peals!
The graves tremble!
And thy heart
From ashy rest
To fiery torments
Now again requickened,
Throbs to life!",Faust
427,"Would I were forth!
I feel as if the organ here
My breath takes from me,
My very heart
Dissolved by the anthem!",Faust
428,"        _Judex ergo cum sedebit,
        Quidquid latet, ad parebit,
        Nil inultum remanebit_.
MARGARET",Faust
429,"        _Quid sum miser tunc dicturus,
        Quem patronem rogaturus,
        Cum vix Justus sit securus_?",Faust
430,"They turn their faces,
The glorified, from thee:
The pure, their hands to offer,
Shuddering, refuse thee!
Woe!",Faust
431,"DOST thou not wish a broomstick-steed's assistance?
The sturdiest he-goat I would gladly see:
The way we take, our goal is yet some distance.",Faust
432,"So long as in my legs I feel the fresh existence.
This knotted staff suffices me.
What need to shorten so the way?
Along this labyrinth of vales to wander,
Then climb the rocky ramparts yonder,
Wherefrom the fountain flings eternal spray,
Is such delight, my steps would fain delay.
The spring-time stirs within the fragrant birches,
And even the fir-tree feels it now:
Should then our limbs escape its gentle searches?",Faust
433,"I notice no such thing, I vow!
'Tis winter still within my body:
Upon my path I wish for frost and snow.
How sadly rises, incomplete and ruddy,
The moon's lone disk, with its belated glow,
And lights so dimly, that, as one advances,
At every step one strikes a rock or tree!
Let us, then, use a Jack-o'-lantern's glances:
I see one yonder, burning merrily.
Ho, there! my friend! I'll levy thine attendance:
Why waste so vainly thy resplendence?
Be kind enough to light us up the steep!",Faust
434,"My reverence, I hope, will me enable
To curb my temperament unstable;
For zigzag courses we are wont to keep.",Faust
435,"Indeed? he'd like mankind to imitate!
Now, in the Devil's name, go straight,
Or I'll blow out his being's flickering spark!",Faust
436,"You are the master of the house, I mark,
And I shall try to serve you nicely.
But then, reflect: the mountain's magic-mad to-day,
And if a will-o'-the-wisp must guide you on the way,
You mustn't take things too precisely.",Faust
437,"     We, it seems, have entered newly
     In the sphere of dreams enchanted.
     Do thy bidding, guide us truly,
     That our feet be forwards planted
     In the vast, the desert spaces!
     See them swiftly changing places,
     Trees on trees beside us trooping,
     And the crags above us stooping,
     And the rocky snouts, outgrowing,--
     Hear them snoring, hear them blowing!
     O'er the stones, the grasses, flowing
     Stream and streamlet seek the hollow.
     Hear I noises? songs that follow?
     Hear I tender love-petitions?
     Voices of those heavenly visions?
     Sounds of hope, of love undying!
     And the echoes, like traditions
     Of old days, come faint and hollow.",Faust
438,"     Hoo-hoo! Shoo-hoo! Nearer hover
     Jay and screech-owl, and the plover,--
     Are they all awake and crying?
     Is't the salamander pushes,
     Bloated-bellied, through the bushes?
     And the roots, like serpents twisted,
     Through the sand and boulders toiling,
     Fright us, weirdest links uncoiling
     To entrap us, unresisted:
     Living knots and gnarls uncanny
     Feel with polypus-antennae
     For the wanderer. Mice are flying,
     Thousand-colored, herd-wise hieing
     Through the moss and through the heather!",Faust
439,"     And the fire-flies wink and darkle,
     Crowded swarms that soar and sparkle,
     And in wildering escort gather!",Faust
440,"     Tell me, if we still are standing,
     Or if further we're ascending?
     All is turning, whirling, blending,
     Trees and rocks with grinning faces,
     Wandering lights that spin in mazes,
     Still increasing and expanding!",Faust
441,"Grasp my skirt with heart undaunted!
Here a middle-peak is planted,
Whence one seeth, with amaze,
Mammon in the mountain blaze.",Faust
442,"How strangely glimmers through the hollows
A dreary light, like that of dawn!
Its exhalation tracks and follows
The deepest gorges, faint and wan.
Here steam, there rolling vapor sweepeth;
Here burns the glow through film and haze:
Now like a tender thread it creepeth,
Now like a fountain leaps and plays.
Here winds away, and in a hundred
Divided veins the valley braids:
There, in a corner pressed and sundered,
Itself detaches, spreads and fades.
Here gush the sparkles incandescent
Like scattered showers of golden sand;--
But, see! in all their height, at present,
The rocky ramparts blazing stand.",Faust
443,"Has not Sir Mammon grandly lighted
His palace for this festal night?
'Tis lucky thou hast seen the sight;
The boisterous guests approach that were invited.",Faust
444,"Under the old ribs of the rock retreating,
Hold fast, lest thou be hurled down the abysses there!
The night with the mist is black;
Hark! how the forests grind and crack!
Frightened, the owlets are scattered:
Hearken! the pillars are shattered.
The evergreen palaces shaking!
Boughs are groaning and breaking,
The tree-trunks terribly thunder,
The roots are twisting asunder!
In frightfully intricate crashing
Each on the other is dashing,
And over the wreck-strewn gorges
The tempest whistles and surges!
Hear'st thou voices higher ringing?
Far away, or nearer singing?
Yes, the mountain's side along,
Sweeps an infuriate glamouring song!",Faust
445,"     The witches ride to the Brocken's top,
     The stubble is yellow, and green the crop.
     There gathers the crowd for carnival:
     Sir Urian sits over all.",Faust
446,"     Then honor to whom the honor is due!
     Dame Baubo first, to lead the crew!
     A tough old sow and the mother thereon,
     Then follow the witches, every one.",Faust
447,"     The way is wide, the way is long:
     See, what a wild and crazy throng!
     The broom it scratches, the fork it thrusts,
     The child is stifled, the mother bursts.
WIZARDS (_semichorus_)",Faust
448,"     As doth the snail in shell, we crawl:
     Before us go the women all.
     When towards the Devil's House we tread,
     Woman's a thousand steps ahead.",Faust
449,"     We do not measure with such care:
     Woman in thousand steps is theft.
     But howsoe'er she hasten may,
     Man in one leap has cleared the way.",Faust
450,"Aloft we'd fain ourselves betake.
We've washed, and are bright as ever you will,
Yet we're eternally sterile still.",Faust
451,"     The wind is hushed, the star shoots by.
     The dreary moon forsakes the sky;
     The magic notes, like spark on spark,
     Drizzle, whistling through the dark.",Faust
452,"Take me, too! take me, too!
I'm climbing now three hundred years,
And yet the summit cannot see:
Among my equals I would be.",Faust
453,"     Bears the broom and bears the stock,
     Bears the fork and bears the buck:
     Who cannot raise himself to-night
     Is evermore a ruined wight.",Faust
454,"So long I stumble, ill bestead,
And the others are now so far ahead!
At home I've neither rest nor cheer,
And yet I cannot gain them here.",Faust
455,"     To cheer the witch will salve avail;
     A rag will answer for a sail;
     Each trough a goodly ship supplies;
     He ne'er will fly, who now not flies.",Faust
456,"     When round the summit whirls our flight,
     Then lower, and on the ground alight;
     And far and wide the heather press
     With witchhood's swarms of wantonness!",Faust
457,"They crowd and push, they roar and clatter!
They whirl and whistle, pull and chatter!
They shine, and spirt, and stink, and burn!
The true witch-element we learn.
Keep close! or we are parted, in our turn,
Where art thou?",Faust
458,"What! whirled so far astray?
Then house-right I must use, and clear the way.
Make room! Squire Voland comes! Room, gentle rabble,
room!",Faust
459,"Here, Doctor, hold to me: in one jump we'll resume
An easier space, and from the crowd be free:
It's too much, even for the like of me.
Yonder, with special light, there's something shining clearer
Within those bushes; I've a mind to see.
Come on! we'll slip a little nearer.",Faust
460,"Spirit of Contradiction! On! I'll follow straight.
'Tis planned most wisely, if I judge aright:
We climb the Brocken's top in the Walpurgis-Night,
That arbitrarily, here, ourselves we isolate.",Faust
461,"But see, what motley flames among the heather!
There is a lively club together:
In smaller circles one is not alone.",Faust
462,"Better the summit, I must own:
There fire and whirling smoke I see.
They seek the Evil One in wild confusion:
Many enigmas there might find solution.",Faust
463,"But there enigmas also knotted be.
Leave to the multitude their riot!
Here will we house ourselves in quiet.
It is an old, transmitted trade,
That in the greater world the little worlds are made.
I see stark-nude young witches congregate,
And old ones, veiled and hidden shrewdly:
On my account be kind, nor treat them rudely!
The trouble's small, the fun is great.
I hear the noise of instruments attuning,--
Vile din! yet one must learn to bear the crooning.
Come, come along! It _must_ be, I declare!
I'll go ahead and introduce thee there,
Thine obligation newly earning.
That is no little space: what say'st thou, friend?
Look yonder! thou canst scarcely see the end:
A hundred fires along the ranks are burning.
They dance, they chat, they cook, they drink, they court:
Now where, just tell me, is there better sport?",Faust
464,"I'm mostly used, 'tis true, to go incognito,
But on a gala-day one may his orders show.
The Garter does not deck my suit,
But honored and at home is here the cloven foot.
Perceiv'st thou yonder snail? It cometh, slow and steady;
So delicately its feelers pry,
That it hath scented me already:
I cannot here disguise me, if I try.
But come! we'll go from this fire to a newer:
I am the go-between, and thou the wooer.",Faust
465,"Old gentlemen, why at the outskirts? Enter!
I'd praise you if I found you snugly in the centre,
With youth and revel round you like a zone:
You each, at home, are quite enough alone.",Faust
466,"Say, who would put his trust in nations,
Howe'er for them one may have worked and planned?
For with the people, as with women,
Youth always has the upper hand.",Faust
467,"They're now too far from what is just and sage.
I praise the old ones, not unduly:
When we were all-in-all, then, truly,
_Then_ was the real golden age.",Faust
468,"We also were not stupid, either,
And what we should not, often did;
But now all things have from their bases slid,
Just as we meant to hold them fast together.",Faust
469,"Who, now, a work of moderate sense will read?
Such works are held as antiquate and mossy;
And as regards the younger folk, indeed,
They never yet have been so pert and saucy.",Faust
470,"I feel that men are ripe for Judgment-Day,
Now for the last time I've the witches'-hill ascended:
Since to the lees _my_ cask is drained away,
The world's, as well, must soon be ended.",Faust
471,"Ye gentlemen, don't pass me thus!
Let not the chance neglected be!
Behold my wares attentively:
The stock is rare and various.
And yet, there's nothing I've collected--
No shop, on earth, like this you'll find!--
Which has not, once, sore hurt inflicted
Upon the world, and on mankind.
No dagger's here, that set not blood to flowing;
No cup, that hath not once, within a healthy frame
Poured speedy death, in poison glowing:
No gems, that have not brought a maid to shame;
No sword, but severed ties for the unwary,
Or from behind struck down the adversary.",Faust
472,"Gossip! the times thou badly comprehendest:
What's done has happed--what haps, is done!
'Twere better if for novelties thou sendest:
By such alone can we be won.",Faust
473,"Adam's first wife is she.
Beware the lure within her lovely tresses,
The splendid sole adornment of her hair!
When she succeeds therewith a youth to snare,
Not soon again she frees him from her jesses.",Faust
474,"     A lovely dream once came to me;
     I then beheld an apple-tree,
     And there two fairest apples shone:
     They lured me so, I climbed thereon.",Faust
475,"     Apples have been desired by you,
     Since first in Paradise they grew;
     And I am moved with joy, to know
     That such within my garden grow.",Faust
476,"     A dissolute dream once came to me:
     Therein I saw a cloven tree,
     Which had a-----------------;
     Yet,-----as 'twas, I fancied it.",Faust
477,"     I offer here my best salute
     Unto the knight with cloven foot!
     Let him a-----------prepare,
     If him------------------does not scare.",Faust
478,"Accurséd folk! How dare you venture thus?
Had you not, long since, demonstration
That ghosts can't stand on ordinary foundation?
And now you even dance, like one of us!",Faust
479,"O, everywhere on him you fall!
When others dance, he weighs the matter:
If he can't every step bechatter,
Then 'tis the same as were the step not made;
But if you forwards go, his ire is most displayed.
If you would whirl in regular gyration
As he does in his dull old mill,
He'd show, at any rate, good-will,--
Especially if you heard and heeded his hortation.",Faust
480,"You still are here? Nay, 'tis a thing unheard!
Vanish, at once! We've said the enlightening word.
The pack of devils by no rules is daunted:
We are so wise, and yet is Tegel haunted.
To clear the folly out, how have I swept and stirred!
Twill ne'er be clean: why, 'tis a thing unheard!",Faust
481,"I tell you, spirits, to your face,
I give to spirit-despotism no place;
My spirit cannot practise it at all.",Faust
482,"Naught will succeed, I see, amid such revels;
Yet something from a tour I always save,
And hope, before my last step to the grave,
To overcome the poets and the devils.",Faust
483,"He now will seat him in the nearest puddle;
The solace this, whereof he's most assured:
And when upon his rump the leeches hang and fuddle,
He'll be of spirits and of Spirit cured.",Faust
484,"That's nothing! One must not so squeamish be;
So the mouse was not gray, enough for thee.
Who'd think of that in love's selected season?",Faust
485,"Mephisto, seest thou there,
Alone and far, a girl most pale and fair?
She falters on, her way scarce knowing,
As if with fettered feet that stay her going.
I must confess, it seems to me
As if my kindly Margaret were she.",Faust
486,"Let the thing be! All thence have evil drawn:
It is a magic shape, a lifeless eidolon.
Such to encounter is not good:
Their blank, set stare benumbs the human blood,
And one is almost turned to stone.
Medusa's tale to thee is known.",Faust
487,"Forsooth, the eyes they are of one whom, dying,
No hand with loving pressure closed;
That is the breast whereon I once was lying,--
The body sweet, beside which I reposed!",Faust
488,"The woe, the rapture, so ensnare me,
That from her gaze I cannot tear me!
And, strange! around her fairest throat
A single scarlet band is gleaming,
No broader than a knife-blade seeming!",Faust
489,"Quite right! The mark I also note.
Her head beneath her arm she'll sometimes carry;
Twas Perseus lopped it, her old adversary.
Thou crav'st the same illusion still!
Come, let us mount this little hill;
The Prater shows no livelier stir,
And, if they've not bewitched my sense,
I verily see a theatre.
What's going on?",Faust
490,"SERVIBILIS
                 'Twill shortly recommence:
A new performance--'tis the last of seven.
To give that number is the custom here:
'Twas by a Dilettante written,
And Dilettanti in the parts appear.
That now I vanish, pardon, I entreat you!
As Dilettante I the curtain raise.",Faust
491,"Sons of Mieding, rest to-day!
Needless your machinery:
Misty vale and mountain gray,
That is all the scenery.",Faust
492,"That the wedding golden be.
Must fifty years be rounded:
But _the Golden_ give to me,
When the strife's compounded.",Faust
493,"Spirits, if you're here, be seen--
Show yourselves, delighted!
Fairy king and fairy queen,
They are newly plighted.",Faust
494,"Cometh Puck, and, light of limb,
Whisks and whirls in measure:
Come a hundred after him,
To share with him the pleasure.",Faust
495,"Ariel's song is heavenly-pure,
His tones are sweet and rare ones:
Though ugly faces he allure,
Yet he allures the fair ones.",Faust
496,"Spouses, who would fain agree,
Learn how we were mated!
If your pairs would loving be,
First be separated!",Faust
497,"If her whims the wife control,
And the man berate her,
Take him to the Northern Pole,
And her to the Equator!",Faust
498,"Snout of fly, mosquito-bill,
And kin of all conditions,
Frog in grass, and cricket-trill,--
These are the musicians!",Faust
499,"See the bagpipe on our track!
'Tis the soap-blown bubble:
Hear the _schnecke-schnicke-schnack_
Through his nostrils double!",Faust
500,"Spider's foot and paunch of toad,
And little wings--we know 'em!
A little creature 'twill not be,
But yet, a little poem.",Faust
501,"Little step and lofty leap
Through honey-dew and fragrance:
You'll never mount the airy steep
With all your tripping vagrance.",Faust
502,"Is't but masquerading play?
See I with precision?
Oberon, the beauteous fay,
Meets, to-night, my vision!",Faust
503,"Not a claw, no tail I see!
And yet, beyond a cavil,
Like ""the Gods of Greece,"" must he
Also be a devil.",Faust
504,"I only seize, with sketchy air,
Some outlines of the tourney;
Yet I betimes myself prepare
For my Italian journey.",Faust
505,"My bad luck brings me here, alas!
How roars the orgy louder!
And of the witches in the mass,
But only two wear powder.",Faust
506,"Powder becomes, like petticoat,
A gray and wrinkled noddy;
So I sit naked on my goat,
And show a strapping body.",Faust
507,"We've too much tact and policy
To rate with gibes a scolder;
Yet, young and tender though you be,
I hope to see you moulder.",Faust
508,"Fly-snout and mosquito-bill,
Don't swarm so round the Naked!
Frog in grass and cricket-trill,
Observe the time, and make it!",Faust
509,"Society to one's desire!
Brides only, and the sweetest!
And bachelors of youth and fire.
And prospects the completest!",Faust
510,"And if the Earth don't open now
To swallow up each ranter,
Why, then will I myself, I vow,
Jump into hell instanter!",Faust
511,"Us as little insects see!
With sharpest nippers flitting,
That our Papa Satan we
May honor as is fitting.",Faust
512,"How, in crowds together massed,
They are jesting, shameless!
They will even say, at last,
That their hearts are blameless.",Faust
513,"Among this witches' revelry
His way one gladly loses;
And, truly, it would easier be
Than to command the Muses.",Faust
514,"The proper folks one's talents laud:
Come on, and none shall pass us!
The Blocksberg has a summit broad,
Like Germany's Parnassus.",Faust
515,"Say, who's the stiff and pompous man?
He walks with haughty paces:
He snuffles all he snuffle can:
""He scents the Jesuits' traces.""",Faust
516,"Both clear and muddy streams, for me
Are good to fish and sport in:
And thus the pious man you see
With even devils consorting.",Faust
517,"Yes, for the pious, I suspect,
All instruments are fitting;
And on the Blocksberg they erect
Full many a place of meeting.",Faust
518,"A newer chorus now succeeds!
I hear the distant drumming.
""Don't be disturbed! 'tis, in the reeds,
The bittern's changeless booming.""",Faust
519,"How each his legs in nimble trip
Lifts up, and makes a clearance!
The crooked jump, the heavy skip,
Nor care for the appearance.",Faust
520,"The rabble by such hate are held,
To maim and slay delights them:
As Orpheus' lyre the brutes compelled,
The bagpipe here unites them.",Faust
521,"I'll not be led by any lure
Of doubts or critic-cavils:
The Devil must be something, sure,--
Or how should there be devils?",Faust
522,"This once, the fancy wrought in me
Is really too despotic:
Forsooth, if I am all I see,
I must be idiotic!",Faust
523,"This racking fuss on every hand,
It gives me great vexation;
And, for the first time, here I stand
On insecure foundation.",Faust
524,"With much delight I see the play,
And grant to these their merits,
Since from the devils I also may
Infer the better spirits.",Faust
525,"The flame they follow, on and on,
And think they're near the treasure:
But _Devil_ rhymes with _Doubt_ alone,
So I am here with pleasure.",Faust
526,"Frog in green, and cricket-trill.
Such dilettants!--perdition!
Fly-snout and mosquito-bill,--
Each one's a fine musician!",Faust
527,"_Sans souci_, we call the clan
Of merry creatures so, then;
Go a-foot no more we can,
And on our heads we go, then.",Faust
528,"Once many a bit we sponged, but now,
God help us! that is done with:
Our shoes are all danced out, we trow,
We've but naked soles to run with.",Faust
529,"From the marshes we appear,
Where we originated;
Yet in the ranks, at once, we're here
As glittering gallants rated.",Faust
530,"Darting hither from the sky,
In star and fire light shooting,
Cross-wise now in grass I lie:
Who'll help me to my footing?",Faust
531,"Room! and round about us, room!
Trodden are the grasses:
Spirits also, spirits come,
And they are bulky masses.",Faust
532,"Enter not so stall-fed quite,
Like elephant-calves about one!
And the heaviest weight to-night
Be Puck, himself, the stout one!",Faust
533,"If loving Nature at your back,
Or Mind, the wings uncloses,
Follow up my airy track
To the mount of roses!",Faust
534,"_pianissimo_
Cloud and trailing mist o'erhead
Are now illuminated:
Air in leaves, and wind in reed,
And all is dissipated.",Faust
535,"In misery! In despair! Long wretchedly astray on the face of the earth,
and now imprisoned! That gracious, ill-starred creature shut in a
dungeon as a criminal, and given up to fearful torments! To this has it
come! to this!--Treacherous, contemptible spirit, and thou hast
concealed it from me!--Stand, then,--stand! Roll the devilish eyes
wrathfully in thy head! Stand and defy me with thine intolerable
presence! Imprisoned! In irretrievable misery! Delivered up to evil
spirits, and to condemning, unfeeling Man! And thou hast lulled me,
meanwhile, with the most insipid dissipations, hast concealed from me
her increasing wretchedness, and suffered her to go helplessly to ruin!
[Illustration: _Roll the devilish eyes wrathfully in thy head_]",Faust
536,"Dog! Abominable monster! Transform him, thou Infinite Spirit! transform
the reptile again into his dog-shape? in which it pleased him often at
night to scamper on before me, to roll himself at the feet of the
unsuspecting wanderer, and hang upon his shoulders when he fell!
Transform him again into his favorite likeness, that he may crawl upon
his belly in the dust before me,--that I may trample him, the outlawed,
under foot! Not the first! O woe! woe which no human soul can grasp,
that more than one being should sink into the depths of this
misery,--that the first, in its writhing death-agony under the eyes of
the Eternal Forgiver, did not expiate the guilt of all others! The
misery of this single one pierces to the very marrow of my life; and
thou art calmly grinning at the fate of thousands!",Faust
537,"Now we are already again at the end of our wits, where the understanding
of you men runs wild. Why didst thou enter into fellowship with us, if
thou canst not carry it out? Wilt fly, and art not secure against
dizziness? Did we thrust ourselves upon thee, or thou thyself upon us?",Faust
538,"Gnash not thus thy devouring teeth at me? It fills me with horrible
disgust. Mighty, glorious Spirit, who hast vouchsafed to me Thine
apparition, who knowest my heart and my soul, why fetter me to the
felon-comrade, who feeds on mischief and gluts himself with ruin?",Faust
539,"I cannot loosen the bonds of the Avenger, nor undo his bolts. Rescue
her? Who was it that plunged her into ruin? I, or thou?",Faust
540,"Wilt thou grasp the thunder? Well that it has not been given to you,
miserable mortals! To crush to pieces the innocent respondent--that is
the tyrant-fashion of relieving one's self in embarrassments.",Faust
541,"And the danger to which thou wilt expose thyself? Know that the guilt of
blood, from thy hand, still lies upon the town! Avenging spirits hover
over the spot where the victim fell, and lie in wait for the returning
murderer.",Faust
542,"That, too, from thee? Murder and death of a world upon thee, monster!
Take me thither, I say, and liberate her!",Faust
543,"I will convey thee there; and hear, what I can do! Have I all the power
in Heaven and on Earth? I will becloud the jailer's senses: get
possession of the key, and lead her forth with human hand! I will keep
watch: the magic steeds are ready, I will carry you off. So much is in
my power.",Faust
544,"A shudder, long unfelt, comes o'er me;
Mankind's collected woe o'erwhelms me, here.
She dwells within the dark, damp walls before me,
And all her crime was a delusion dear!
What! I delay to free her?
I dread, once again to see her?
On! my shrinking but lingers Death more near.",Faust
545,"     _My mother, the harlot,
     Who put me to death;
     My father, the varlet,
     Who eaten me hath!
     Little sister, so good,
     Laid my bones in the wood,
     In the damp moss and clay:_
     _Then was I a beautiful bird o' the wood;
     Fly away! Fly away_!",Faust
546,"FAUST
Thy cries will wake the guards, and they will seize thee!
(_He takes hold of the fetters to unlock them_.)",Faust
547,"Who, headsman! unto thee such power
Over me could give?
Thou'rt come for me at midnight-hour:
Have mercy on me, let me live!
Is't not soon enough when morning chime has run?",Faust
548,"And I am yet so young, so young!
And now Death comes, and ruin!
I, too, was fair, and that was my undoing.
My love was near, but now he's far;
Torn lies the wreath, scattered the blossoms are.
Seize me not thus so violently!
Spare me! What have I done to thee?
Let me not vainly entreat thee!
I never chanced, in all my days, to meet thee!",Faust
549,"Now am I wholly in thy might.
But let me suckle, first, my baby!
I blissed it all this livelong night;
They took 't away, to vex me, maybe,
And now they say I killed the child outright.
And never shall I be glad again.
They sing songs about me! 'tis bad of the folk to do it!
There's an old story has the same refrain;
Who bade them so construe it?",Faust
550,"O let us kneel, and call the Saints to hide us!
Under the steps beside us,
The threshold under,
Hell heaves in thunder!
The Evil One
With terrible wrath
Seeketh a path
His prey to discover!",Faust
551,"Where is he? I heard him call me.
I am free! No one shall enthrall me.
To his neck will I fly,
On his bosom lie!
On the threshold he stood, and _Margaret_! calling,
Midst of Hell's howling and noises appalling,
Midst of the wrathful, infernal derision,
I knew the sweet sound of the voice of the vision!",Faust
552,"'Tis he! 'tis he! Where now is all my pain?
The anguish of the dungeon, and the chain?
'Tis thou! Thou comest to save me,
And I am saved!--
Again the street I see
Where first I looked on thee;
And the garden, brightly blooming,
Where I and Martha wait thy coming.",Faust
553,"Kiss me!--canst no longer do it?
My friend, so short a time thou'rt missing,
And hast unlearned thy kissing?
Why is my heart so anxious, on thy breast?
Where once a heaven thy glances did create me,
A heaven thy loving words expressed,
And thou didst kiss, as thou wouldst suffocate me--
Kiss me!
Or I'll kiss thee!",Faust
554,"Ah, woe! thy lips are chill,
And still.
How changed in fashion
Thy passion!
Who has done me this ill?",Faust
555,"Come, follow me! My darling, be more bold:
I'll clasp thee, soon, with warmth a thousand-fold;
But follow now! 'Tis all I beg of thee.",Faust
556,"Thou wilt unloose my chain,
And in thy lap wilt take me once again.
How comes it that thou dost not shrink from me?--
Say, dost thou know, my friend, whom thou mak'st free?",Faust
557,"My mother have I put to death;
I've drowned the baby born to thee.
Was it not given to thee and me?
Thee, too!--'Tis thou! It scarcely true doth seem--
Give me thy hand! 'Tis not a dream!
Thy dear, dear hand!--But, ah, 'tis wet!
Why, wipe it off! Methinks that yet
There's blood thereon.
Ah, God! what hast thou done?
Nay, sheathe thy sword at last!
Do not affray me!",Faust
558,"No, no! Thou must outlive us.
Now I'll tell thee the graves to give us:
Thou must begin to-morrow
The work of sorrow!
The best place give to my mother,
Then close at her side my brother,
And me a little away,
But not too very far, I pray!
And here, on my right breast, my baby lay!
Nobody else will lie beside me!--
Ah, within thine arms to hide me,
That was a sweet and a gracious bliss,
But no more, no more can I attain it!
I would force myself on thee and constrain it,
And it seems thou repellest my kiss:
And yet 'tis thou, so good, so kind to see!",Faust
559,"  If the grave is there,
Death lying in wait, then come!
From here to eternal rest:
No further step--no, no!
Thou goest away! O Henry, if I could go!",Faust
560,"I dare not go: there's no hope any more.
Why should I fly? They'll still my steps waylay!
It is so wretched, forced to beg my living,
And a bad conscience sharper misery giving!
It is so wretched, to be strange, forsaken,
And I'd still be followed and taken!",Faust
561,"Over the bridge,
Into the wood,
To the left, where the plank is placed
In the pool!
Seize it in haste!
'Tis trying to rise,
'Tis struggling still!
Save it! Save it!",Faust
562,"If the mountain we had only passed!
There sits my mother upon a stone,--
I feel an icy shiver!
There sits my mother upon a stone,
And her head is wagging ever.
She beckons, she nods not, her heavy head falls o'er;
She slept so long that she wakes no more.
She slept, while we were caressing:
Ah, those were the days of blessing!",Faust
563,"No--let me go! I'll suffer no force!
Grasp me not so murderously!
I've done, else, all things for the love of thee.",Faust
564,"Day? Yes, the day comes,--the last day breaks for me!
My wedding-day it was to be!
Tell no one thou has been with Margaret!
Woe for my garland! The chances
Are over--'tis all in vain!
We shall meet once again,
But not at the dances!
The crowd is thronging, no word is spoken:
The square below
And the streets overflow:
The death-bell tolls, the wand is broken.
I am seized, and bound, and delivered--
Shoved to the block--they give the sign!
Now over each neck has quivered
The blade that is quivering over mine.
Dumb lies the world like the grave!",Faust
565,"Off! or you're lost ere morn.
Useless talking, delaying and praying!
My horses are neighing:
The morning twilight is near.",Faust
566,"What rises up from the threshold here?
He! he! suffer him not!
What does he want in this holy spot?
He seeks me!",Faust
567,"Thine am I, Father! rescue me!
Ye angels, holy cohorts, guard me,
Camp around, and from evil ward me!
Henry! I shudder to think of thee.",Faust
568,"
*** END OF THE PROJECT GUTENBERG EBOOK FAUST [PART 1]. TRANSLATED INTO ENGLISH IN THE ORIGINAL METRES ***",Faust
569,"To protect the Project Gutenberg™ mission of promoting the free
distribution of electronic works, by using or distributing this work
(or any other work associated in any way with the phrase “Project
Gutenberg”), you agree to comply with all the terms of the Full
Project Gutenberg™ License available with this file or online at
www.gutenberg.org/license.",Faust
570,"1.A. By reading or using any part of this Project Gutenberg™
electronic work, you indicate that you have read, understand, agree to
and accept all the terms of this license and intellectual property
(trademark/copyright) agreement. If you do not agree to abide by all
the terms of this agreement, you must cease using and return or
destroy all copies of Project Gutenberg™ electronic works in your
possession. If you paid a fee for obtaining a copy of or access to a
Project Gutenberg™ electronic work and you do not agree to be bound
by the terms of this agreement, you may obtain a refund from the person
or entity to whom you paid the fee as set forth in paragraph 1.E.8.",Faust
571,"1.B. “Project Gutenberg” is a registered trademark. It may only be
used on or associated in any way with an electronic work by people who
agree to be bound by the terms of this agreement. There are a few
things that you can do with most Project Gutenberg™ electronic works
even without complying with the full terms of this agreement. See
paragraph 1.C below. There are a lot of things you can do with Project
Gutenberg™ electronic works if you follow the terms of this
agreement and help preserve free future access to Project Gutenberg™
electronic works. See paragraph 1.E below.",Faust
572,"1.D. The copyright laws of the place where you are located also govern
what you can do with this work. Copyright laws in most countries are
in a constant state of change. If you are outside the United States,
check the laws of your country in addition to the terms of this
agreement before downloading, copying, displaying, performing,
distributing or creating derivative works based on this work or any
other Project Gutenberg™ work. The Foundation makes no
representations concerning the copyright status of any work in any
country other than the United States.",Faust
573,"1.E.1. The following sentence, with active links to, or other
immediate access to, the full Project Gutenberg™ License must appear
prominently whenever any copy of a Project Gutenberg™ work (any work
on which the phrase “Project Gutenberg” appears, or with which the
phrase “Project Gutenberg” is associated) is accessed, displayed,
performed, viewed, copied or distributed:",Faust
574,"1.E.3. If an individual Project Gutenberg™ electronic work is posted
with the permission of the copyright holder, your use and distribution
must comply with both paragraphs 1.E.1 through 1.E.7 and any
additional terms imposed by the copyright holder. Additional terms
will be linked to the Project Gutenberg™ License for all works
posted with the permission of the copyright holder found at the
beginning of this work.",Faust
